date;zender;kdh;madl;abs
02/19/2015;Comedy Central Family;0,0;0,1;2.000
02/19/2015;Nickelodeon;0,2;1,3;26.000
02/19/2015;TeenNick;0,0;0,1;1.000
02/19/2015;Disney Channel;0,1;0,6;13.000
02/19/2015;Disney XD;0,1;0,5;11.000
02/19/2015;Discovery Channel;0,3;2,2;46.000
02/19/2015;TLC;0,3;1,9;39.000
02/19/2015;ID;0,1;0,6;11.000
02/19/2015;National Geographic Channel;0,2;1,6;33.000
02/19/2015;24Kitchen;0,1;0,4;8.000
02/19/2015;FOX;0,1;0,7;14.000
02/19/2015;FOX Sports 1 Eredivisie;0,0;0,0;0
02/19/2015;FOX Sports 2;0,0;0,0;0
02/19/2015;FOX Sports 3 Eredivisie;0,0;0,0;0
02/19/2015;Eurosport;0,1;0,5;11.000
02/19/2015;AT5;0,0;0,1;2.000
02/19/2015;ORN TV;0,2;1,6;33.000
02/19/2015;VID+DVD+HDR;0,8;5,8;119.000
02/19/2015;SKO Light;0,5;4,0;83.000
02/19/2015;Overige zenders;0,5;3,5;72.000
02/18/2015;Totaal zenders;13,3;100,0;2.064.000
02/18/2015;NPO1;2,4;18,2;375.000
02/18/2015;NPO2;0,9;6,8;140.000
02/18/2015;NPO3;1,1;8,4;174.000
02/18/2015;RTL4;2,2;16,6;342.000
02/18/2015;RTL5;0,4;3,2;67.000
02/18/2015;RTL7;0,5;4,1;84.000
02/18/2015;RTL8;0,3;1,9;39.000
02/18/2015;RTL Crime;0,0;0,0;1.000
02/18/2015;RTL Lounge;0,0;0,1;2.000
02/18/2015;SBS 6;0,9;7,1;146.000
02/18/2015;Net5;0,4;2,7;56.000
02/18/2015;Veronica;0,3;2,3;48.000
02/18/2015;SBS9;0,1;0,4;8.000
02/18/2015;MTV;0,0;0,4;8.000
02/18/2015;Comedy Central;0,2;1,2;24.000
02/18/2015;Comedy Central Family;0,0;0,2;3.000
02/18/2015;Nickelodeon;0,1;0,9;18.000
02/18/2015;TeenNick;0,0;0,1;3.000
02/18/2015;Disney Channel;0,1;0,6;12.000
02/18/2015;Disney XD;0,1;0,5;10.000
02/18/2015;Discovery Channel;0,2;1,6;34.000
02/18/2015;TLC;0,2;1,8;37.000
02/18/2015;ID;0,1;0,6;12.000
02/18/2015;National Geographic Channel;0,1;1,1;23.000
02/18/2015;24Kitchen;0,1;0,4;9.000
02/18/2015;FOX;0,1;0,9;19.000
02/18/2015;FOX Sports 1 Eredivisie;0,0;0,0;1.000
02/18/2015;FOX Sports 2;0,0;0,0;0
02/18/2015;FOX Sports 3 Eredivisie;0,0;0,0;0
02/18/2015;Eurosport;0,1;0,8;17.000
02/18/2015;AT5;0,0;0,1;2.000
02/18/2015;ORN TV;0,3;2,4;49.000
02/18/2015;VID+DVD+HDR;0,8;6,2;128.000
02/18/2015;SKO Light;0,6;4,2;87.000
02/18/2015;Overige zenders;0,6;4,2;87.000
02/17/2015;Totaal zenders;13,3;100,0;2.058.000
02/17/2015;NPO1;2,7;20,5;421.000
02/17/2015;NPO2;0,8;6,1;125.000
02/17/2015;NPO3;0,7;5,5;114.000
02/17/2015;RTL4;2,0;15,4;317.000
02/17/2015;RTL5;0,4;2,9;60.000
02/17/2015;RTL7;0,6;4,6;95.000
02/17/2015;RTL8;0,3;2,0;41.000
02/17/2015;RTL Crime;0,0;0,1;3.000
02/17/2015;RTL Lounge;0,0;0,1;2.000
02/17/2015;SBS 6;0,9;6,6;136.000
02/17/2015;Net5;0,4;3,2;65.000
02/17/2015;Veronica;0,4;2,6;55.000
02/17/2015;SBS9;0,1;0,6;12.000
02/17/2015;MTV;0,1;0,5;10.000
02/17/2015;Comedy Central;0,1;1,1;22.000
02/17/2015;Comedy Central Family;0,0;0,2;4.000
02/17/2015;Nickelodeon;0,1;0,7;14.000
02/17/2015;TeenNick;0,0;0,1;1.000
02/17/2015;Disney Channel;0,0;0,3;7.000
02/17/2015;Disney XD;0,1;0,6;13.000
02/17/2015;Discovery Channel;0,4;2,7;55.000
02/17/2015;TLC;0,3;2,1;42.000
02/17/2015;ID;0,1;0,4;9.000
02/17/2015;National Geographic Channel;0,1;1,1;23.000
02/17/2015;24Kitchen;0,0;0,3;6.000
02/17/2015;FOX;0,2;1,3;26.000
02/17/2015;FOX Sports 1 Eredivisie;0,0;0,2;3.000
02/17/2015;FOX Sports 2;0,0;0,0;1.000
02/17/2015;FOX Sports 3 Eredivisie;0,0;0,0;0
02/17/2015;Eurosport;0,1;0,7;14.000
02/17/2015;AT5;0,0;0,1;1.000
02/17/2015;ORN TV;0,4;2,7;56.000
02/17/2015;VID+DVD+HDR;0,8;6,1;127.000
02/17/2015;SKO Light;0,4;3,4;70.000
02/17/2015;Overige zenders;0,7;5,3;109.000
02/16/2015;Totaal zenders;17,0;100,0;2.639.000
02/16/2015;NPO1;4,9;29,0;765.000
02/16/2015;NPO2;0,7;4,4;115.000
02/16/2015;NPO3;0,6;3,5;91.000
02/16/2015;RTL4;2,2;12,9;341.000
02/16/2015;RTL5;0,4;2,3;60.000
02/16/2015;RTL7;0,5;2,8;74.000
02/16/2015;RTL8;0,4;2,2;58.000
02/16/2015;RTL Crime;0,0;0,1;1.000
02/16/2015;RTL Lounge;0,0;0,1;2.000
02/16/2015;SBS 6;1,1;6,3;165.000
02/16/2015;Net5;0,3;1,9;51.000
02/16/2015;Veronica;0,4;2,1;56.000
02/16/2015;SBS9;0,1;0,6;16.000
02/16/2015;MTV;0,1;0,8;21.000
02/16/2015;Comedy Central;0,2;1,3;33.000
02/16/2015;Comedy Central Family;0,0;0,1;4.000
02/16/2015;Nickelodeon;0,2;0,9;24.000
02/16/2015;TeenNick;0,0;0,2;4.000
02/16/2015;Disney Channel;0,0;0,3;7.000
02/16/2015;Disney XD;0,1;0,6;17.000
02/16/2015;Discovery Channel;0,3;2,0;54.000
02/16/2015;TLC;0,3;2,0;52.000
02/16/2015;ID;0,1;0,7;18.000
02/16/2015;National Geographic Channel;0,2;1,4;36.000
02/16/2015;24Kitchen;0,0;0,3;7.000
02/16/2015;FOX;0,1;0,8;20.000
02/16/2015;FOX Sports 1 Eredivisie;0,5;3,0;79.000
02/16/2015;FOX Sports 2;0,0;0,1;2.000
02/16/2015;FOX Sports 3 Eredivisie;0,0;0,1;2.000
02/16/2015;Eurosport;0,1;0,3;8.000
02/16/2015;AT5;0,0;0,1;2.000
02/16/2015;ORN TV;0,5;2,7;72.000
02/16/2015;VID+DVD+HDR;1,0;5,9;155.000
02/16/2015;SKO Light;0,8;4,5;119.000
02/16/2015;Overige zenders;0,7;4,1;108.000
02/15/2015;Totaal zenders;15,6;100,0;2.424.000
02/15/2015;NPO1;3,6;23,2;563.000
02/15/2015;NPO2;0,9;5,9;142.000
02/15/2015;NPO3;0,7;4,6;112.000
02/15/2015;RTL4;2,2;14,0;339.000
02/15/2015;RTL5;0,4;2,5;60.000
02/15/2015;RTL7;0,4;2,4;58.000
02/15/2015;RTL8;0,3;2,1;51.000
02/15/2015;RTL Crime;0,0;0,0;1.000
02/15/2015;RTL Lounge;0,0;0,1;2.000
02/15/2015;SBS 6;0,9;6,0;145.000
02/15/2015;Net5;0,4;2,7;64.000
02/15/2015;Veronica;0,3;1,6;39.000
02/15/2015;SBS9;0,1;0,6;14.000
02/15/2015;MTV;0,1;0,3;8.000
02/15/2015;Comedy Central;0,2;1,6;38.000
02/15/2015;Comedy Central Family;0,0;0,1;2.000
02/15/2015;Nickelodeon;0,2;1,0;25.000
02/15/2015;TeenNick;0,0;0,1;2.000
02/15/2015;Disney Channel;0,1;0,5;12.000
02/15/2015;Disney XD;0,1;0,6;14.000
02/15/2015;Discovery Channel;0,3;1,7;40.000
02/15/2015;TLC;0,3;1,9;47.000
02/15/2015;ID;0,1;0,4;11.000
02/15/2015;National Geographic Channel;0,2;1,1;26.000
02/15/2015;24Kitchen;0,1;0,4;10.000
02/15/2015;FOX;0,2;1,3;30.000
02/15/2015;FOX Sports 1 Eredivisie;0,2;1,4;34.000
02/15/2015;FOX Sports 2;0,0;0,2;4.000
02/15/2015;FOX Sports 3 Eredivisie;0,0;0,1;2.000
02/15/2015;Eurosport;0,1;0,4;10.000
02/15/2015;AT5;0,0;0,1;2.000
02/15/2015;ORN TV;0,5;3,0;72.000
02/15/2015;VID+DVD+HDR;1,2;7,4;180.000
02/15/2015;SKO Light;0,8;4,9;119.000
02/15/2015;Overige zenders;0,9;6,0;145.000
02/14/2015;Totaal zenders;14,0;100,0;2.170.000
02/14/2015;NPO1;2,2;15,9;346.000
02/14/2015;NPO2;1,3;9,3;203.000
02/14/2015;NPO3;1,0;7,1;154.000
02/14/2015;RTL4;2,2;15,9;345.000
02/14/2015;RTL5;0,5;3,8;83.000
02/14/2015;RTL7;0,4;3,2;68.000
02/14/2015;RTL8;0,2;1,7;37.000
02/14/2015;RTL Crime;0,0;0,0;1.000
02/14/2015;RTL Lounge;0,0;0,1;3.000
02/14/2015;SBS 6;0,9;6,3;136.000
02/14/2015;Net5;0,6;4,4;96.000
02/14/2015;Veronica;0,3;2,4;52.000
02/14/2015;SBS9;0,1;0,4;10.000
02/14/2015;MTV;0,0;0,3;7.000
02/14/2015;Comedy Central;0,2;1,2;27.000
02/14/2015;Comedy Central Family;0,0;0,2;4.000
02/14/2015;Nickelodeon;0,1;0,8;18.000
02/14/2015;TeenNick;0,0;0,2;4.000
02/14/2015;Disney Channel;0,1;0,6;12.000
02/14/2015;Disney XD;0,1;0,5;10.000
02/14/2015;Discovery Channel;0,3;1,9;41.000
02/14/2015;TLC;0,3;2,0;43.000
02/14/2015;ID;0,1;0,4;10.000
02/14/2015;National Geographic Channel;0,2;1,2;27.000
02/14/2015;24Kitchen;0,0;0,3;7.000
02/14/2015;FOX;0,1;0,9;19.000
02/14/2015;FOX Sports 1 Eredivisie;0,1;1,1;23.000
02/14/2015;FOX Sports 2;0,0;0,0;0
02/14/2015;FOX Sports 3 Eredivisie;0,0;0,0;0
02/14/2015;Eurosport;0,1;0,4;8.000
02/14/2015;AT5;0,0;0,1;2.000
02/14/2015;ORN TV;0,3;2,2;48.000
02/14/2015;VID+DVD+HDR;0,8;6,0;130.000
02/14/2015;SKO Light;0,5;3,8;82.000
02/14/2015;Overige zenders;0,8;5,4;118.000
02/13/2015;Totaal zenders;13,7;100,0;2.129.000
02/13/2015;NPO1;2,7;19,3;411.000
02/13/2015;NPO2;0,9;6,7;143.000
02/13/2015;NPO3;0,8;6,1;130.000
02/13/2015;RTL4;2,3;16,6;352.000
02/13/2015;RTL5;0,4;2,7;57.000
02/13/2015;RTL7;0,6;4,1;87.000
02/13/2015;RTL8;0,3;1,9;40.000
02/13/2015;RTL Crime;0,0;0,0;0
02/13/2015;RTL Lounge;0,0;0,1;3.000
02/13/2015;SBS 6;0,9;6,7;142.000
02/13/2015;Net5;0,6;4,4;93.000
02/13/2015;Veronica;0,4;2,8;59.000
02/13/2015;SBS9;0,1;0,6;12.000
02/13/2015;MTV;0,0;0,3;7.000
02/13/2015;Comedy Central;0,2;1,5;33.000
02/13/2015;Comedy Central Family;0,0;0,2;4.000
02/13/2015;Nickelodeon;0,1;0,8;17.000
02/13/2015;TeenNick;0,0;0,1;1.000
02/13/2015;Disney Channel;0,1;0,5;10.000
02/13/2015;Disney XD;0,1;0,5;11.000
02/13/2015;Discovery Channel;0,3;1,9;39.000
02/13/2015;TLC;0,4;2,6;56.000
02/13/2015;ID;0,1;0,7;15.000
02/13/2015;National Geographic Channel;0,2;1,4;29.000
02/13/2015;24Kitchen;0,1;0,5;11.000
02/13/2015;FOX;0,1;0,8;17.000
02/13/2015;FOX Sports 1 Eredivisie;0,0;0,1;1.000
02/13/2015;FOX Sports 2;0,0;0,0;0
02/13/2015;FOX Sports 3 Eredivisie;0,0;0,0;0
02/13/2015;Eurosport;0,1;0,4;9.000
02/13/2015;AT5;0,0;0,1;2.000
02/13/2015;ORN TV;0,3;2,3;49.000
02/13/2015;VID+DVD+HDR;0,7;5,3;114.000
02/13/2015;SKO Light;0,5;3,7;78.000
02/13/2015;Overige zenders;0,6;4,5;96.000
02/12/2015;Totaal zenders;13,6;100,0;2.115.000
02/12/2015;NPO1;2,7;20,0;423.000
02/12/2015;NPO2;0,9;6,4;135.000
02/12/2015;NPO3;0,7;5,1;107.000
02/12/2015;RTL4;2,1;15,2;321.000
02/12/2015;RTL5;0,4;2,6;56.000
02/12/2015;RTL7;0,6;4,6;98.000
02/12/2015;RTL8;0,2;1,7;36.000
02/12/2015;RTL Crime;0,0;0,1;2.000
02/12/2015;RTL Lounge;0,0;0,1;2.000
